name,area,created_at,current_price,change_rate,road_address,latitude,longitude,variants,price_2024,image,price_2022,price_2023,price_2025
(828-21),81.33,2024-01-01 00:00:00,91000.0,,테헤란로10길 25,37.4975892274124,127.032981074946,"[{'전용면적(㎡)': 81.33, '거래금액(만원)': 91000.0}]",91000.0,,,,
(토지임대부아파트)강남브리즈힐,74.44,2022-01-01 00:00:00,124000.0,-5.56,자곡로3길 45,37.472243237996,127.090660021074,"[{'전용면적(㎡)': 74.44, '거래금액(만원)': 124000.0}, {'전용면적(㎡)': 84.98, '거래금액(만원)': 117100.0}]",117100.0,http://localhost:3000/apartment_images/브리즈힐.jpg,124000.0,,
Bienestar,127.3819,2022-01-01 00:00:00,263000.0,,선릉로107길 16,37.509342396743,127.042804212749,"[{'전용면적(㎡)': 127.3819, '거래금액(만원)': 263000.0}]",,,263000.0,,
EGSoulLeader,17.03,2024-01-01 00:00:00,20000.0,,테헤란로14길 34,37.4971759307349,127.033637919111,"[{'전용면적(㎡)': 17.03, '거래금액(만원)': 20000.0}]",20000.0,,,,
LG선릉에클라트(A),36.16,2024-01-01 00:00:00,41000.0,9.33,선릉로100길 42,37.5065447414109,127.050848399493,"[{'전용면적(㎡)': 36.16, '거래금액(만원)': 41000.0}, {'전용면적(㎡)': 41.64, '거래금액(만원)': 37500.0}]",41000.0,,,37500.0,
LG선릉에클라트(B),56.68,2024-01-01 00:00:00,107000.0,166.17,테헤란로63길 12,37.5061147390354,127.050947634813,"[{'전용면적(㎡)': 56.68, '거래금액(만원)': 107000.0}, {'전용면적(㎡)': 36.35, '거래금액(만원)': 40200.0}]",107000.0,,40200.0,35500.0,
PH129,273.96,2022-01-01 00:00:00,1450000.0,,압구정로79길 88,37.5259558961367,127.054236542629,"[{'전용면적(㎡)': 273.96, '거래금액(만원)': 1450000.0}]",,,1450000.0,,
PLUMHILLS,206.1,2022-01-01 00:00:00,210000.0,,남부순환로373길 26,37.4875927902391,127.044124905921,"[{'전용면적(㎡)': 206.1, '거래금액(만원)': 210000.0}]",,,210000.0,,
RudenHouse,84.44,2022-01-01 00:00:00,103000.0,,강남대로162길 41-8,37.5214508206198,127.021597589466,"[{'전용면적(㎡)': 84.44, '거래금액(만원)': 103000.0}]",,,103000.0,,
SK허브프리모,69.18,2024-01-01 00:00:00,105000.0,17.32,강남대로 240,37.4852596091178,127.034429700831,"[{'전용면적(㎡)': 69.18, '거래금액(만원)': 105000.0}, {'전용면적(㎡)': 63.09, '거래금액(만원)': 90000.0}, {'전용면적(㎡)': 33.8, '거래금액(만원)': 41000.0}]",105000.0,,,89500.0,
SM드림빌,52.79,2023-01-01 00:00:00,46000.0,,봉은사로61길 34,37.5133148547439,127.045871301763,"[{'전용면적(㎡)': 52.79, '거래금액(만원)': 46000.0}]",,,,46000.0,
e-편한세상,84.991,2024-01-01 00:00:00,295000.0,-14.58,선릉로69길 20,37.498747226144,127.050923517096,"[{'전용면적(㎡)': 84.991, '거래금액(만원)': 295000.0}, {'전용면적(㎡)': 59.606, '거래금액(만원)': 236000.0}, {'전용면적(㎡)': 129.8748, '거래금액(만원)': 192000.0}, {'전용면적(㎡)': 112.2044, '거래금액(만원)': 164000.0}, {'전용면적(㎡)': 97.9436, '거래금액(만원)': 120000.0}]",164000.0,,192000.0,129000.0,
가람,84.95,2024-01-01 00:00:00,239000.0,,일원로 127,37.4831592916235,127.085383839812,"[{'전용면적(㎡)': 84.95, '거래금액(만원)': 239000.0}, {'전용면적(㎡)': 75.16, '거래금액(만원)': 200000.0}]",239000.0,,,,
강남 더샵 포레스트,165.4312,2023-01-01 00:00:00,380000.0,-16.67,광평로34길 35,37.4821109112761,127.094906024141,"[{'전용면적(㎡)': 165.4312, '거래금액(만원)': 380000.0}, {'전용면적(㎡)': 146.6888, '거래금액(만원)': 348000.0}, {'전용면적(㎡)': 124.5792, '거래금액(만원)': 295000.0}]",290000.0,,348000.0,380000.0,
강남데시앙파크,114.69,2024-01-01 00:00:00,159000.0,,헌릉로590길 63,37.4610465369667,127.101540870536,"[{'전용면적(㎡)': 114.69, '거래금액(만원)': 159000.0}, {'전용면적(㎡)': 84.97, '거래금액(만원)': 126000.0}]",159000.0,,,,
